+------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-------------+-------------+
| Rank |                                                                                                                                                                                                                                                                                                  Drug Name                                                                                                                                                                                                                                                                                                  |  Target Name   | Interaction | Probability |
| 5918 |                                                                                                                                                                                                                                                                                     15-(4-Iodophenyl)pentadecanoic acid                                                                                                                                                                                                                                                                                     | TP53_isoform_a |      NO     |     0.08    |
| 5919 |                                                                                                                                                                                                                                                                                               Trihexyphenidyl                                                                                                                                                                                                                                                                                               | TP53_isoform_a |      NO     |     0.08    |
| 5920 |                                                                                                                                                                                                                                                                                     3-Undecylcyclohexane-1,2,4,5-tetrone                                                                                                                                                                                                                                                                                    | TP53_isoform_a |      NO     |     0.08    |
| 5921 |                                                                                                                                                                                                                                                                                                  Tretinoin                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |      NO     |     0.08    |
| 5922 |                                                                                                                                                                                                                                                                                                 Isotretinoin                                                                                                                                                                                                                                                                                                | TP53_isoform_a |      NO     |     0.08    |
| 5923 |                                                                                                                                                                                                                                                                                              Diethylcarbamazine                                                                                                                                                                                                                                                                                             | TP53_isoform_a |      NO     |     0.08    |
| 5924 |                                                                                                                                                                                                                                                                                            2,6-Dimethylpiperidine                                                                                                                                                                                                                                                                                           | TP53_isoform_a |      NO     |     0.08    |
| 5925 |                                                                                                                                                                                                                                                                                 2-(2-Carboxyethyl)-1,1,1-trimethyldiazanium                                                                                                                                                                                                                                                                                 | TP53_isoform_a |      NO     |     0.08    |
| 5926 |                                                                                                                                                                                                                                                                                               Retinyl acetate                                                                                                                                                                                                                                                                                               | TP53_isoform_a |      NO     |     0.08    |
| 5927 |                                                                                                                                                                                                                                                                                                  Thonzonium                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |      NO     |     0.08    |
| 5928 |                                                                                                                                                                                                                                                                                           6-Acetamidohexanoic acid                                                                                                                                                                                                                                                                                          | TP53_isoform_a |      NO     |     0.08    |
| 5929 |                                                                                                                                                                                                                                                                                            4-Hydroxycrotonic acid                                                                                                                                                                                                                                                                                           | TP53_isoform_a |      NO     |     0.08    |
| 5930 |                                                                                                                                                                                                                                                     (6,6-Dimethyl-5,6-Dihydroimidazo[2,1-B][1,3]thiazol-3-Yl)methyl N,N'-Dicyclohexylimidothiocarbamate                                                                                                                                                                                                                                                     | TP53_isoform_a |      NO     |     0.08    |
| 5931 |                                                                                                                                                                                                                                                                                            4-Hydroxybutanoic acid                                                                                                                                                                                                                                                                                           | TP53_isoform_a |      NO     |     0.08    |
| 5932 |                                                                                                                                                                                                                                                                                                Valproic acid                                                                                                                                                                                                                                                                                                | TP53_isoform_a |      NO     |     0.08    |
| 5933 |                                                                                                                                                                                                                                                                                                 Taurolidine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |      NO     |     0.08    |
| 5934 |                                                                                                                                                                                                                                                                                             Hexamethyldisiloxane                                                                                                                                                                                                                                                                                            | TP53_isoform_a |      NO     |     0.08    |
| 5935 |                                                                                                                                                                                                                                                                                                  Eprodisate                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |      NO     |     0.07    |
| 5936 |                                                                                                                                                                                                                                                                                                  Pempidine                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |      NO     |     0.07    |
| 5937 |                                                                                                                                                                                                                                                                                                 Dibrospidium                                                                                                                                                                                                                                                                                                | TP53_isoform_a |      NO     |     0.07    |
| 5938 |                                                                                                                                                                                                                                                                                            Octamethyltrisiloxane                                                                                                                                                                                                                                                                                            | TP53_isoform_a |      NO     |     0.07    |
| 5939 |                                                                                                                                                                                                                                                                                                  Alexidine                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |      NO     |     0.07    |
| 5940 |                                                                                                                                                                                                                                                                                                  Docebenone                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |      NO     |     0.07    |
| 5941 |                                                                                                                                                                                                                                                                                               Succinylcholine                                                                                                                                                                                                                                                                                               | TP53_isoform_a |      NO     |     0.07    |
| 5942 |                                                                                                                                                                                                                                                                                            2-Ethyl-1,3-hexanediol                                                                                                                                                                                                                                                                                           | TP53_isoform_a |      NO     |     0.07    |
| 5943 |                                                                                                                                                                                                                                                                                                   Busulfan                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |      NO     |     0.07    |
| 5944 |                                                                                                                                                                                                                                                                                                  Octodrine                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |      NO     |     0.07    |
| 5945 |                                                                                                                                                                                                                                                                    (Z)-N-[(2R)-1-Hydroxy-3-(4-hydroxyphenyl)propan-2-yl]octadec-9-enamide                                                                                                                                                                                                                                                                   | TP53_isoform_a |      NO     |     0.07    |
| 5946 |                                                                                                                                                                                                                                                                                              2-Methyl-2-butanol                                                                                                                                                                                                                                                                                             | TP53_isoform_a |      NO     |     0.07    |
| 5947 |                                                                                                                                                                                                                                                                                       Pyrrolidine-1-carbodithioic acid                                                                                                                                                                                                                                                                                      | TP53_isoform_a |      NO     |     0.07    |
| 5948 |                                                                                                                                                                                                                                                                                                Bempedoic acid                                                                                                                                                                                                                                                                                               | TP53_isoform_a |      NO     |     0.07    |
| 5949 |                                                                                                                                                                                                                                                                                                 Coenzyme Q10                                                                                                                                                                                                                                                                                                | TP53_isoform_a |      NO     |     0.07    |
| 5950 |                                                                                                                                                                                                                                                                     1-Methyl-3,6-dihydro-2H-pyridine-5-carboxylic acid but-2-ynyl ester                                                                                                                                                                                                                                                                     | TP53_isoform_a |      NO     |     0.07    |
| 5951 |                                                                                                                                                                                                                                                                                       5-(Tetradecyloxy)-2-furoic acid                                                                                                                                                                                                                                                                                       | TP53_isoform_a |      NO     |     0.07    |
| 5952 |                                                                                                                                                                                                                                                                                         Benzyldimethyloctylammonium                                                                                                                                                                                                                                                                                         | TP53_isoform_a |      NO     |     0.07    |
| 5953 |                                                                                                                                                                                                                                                                                                  Lipoamide                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |      NO     |     0.07    |
| 5954 |                                                                                                                                                                                                                                                                                                 Butyric acid                                                                                                                                                                                                                                                                                                | TP53_isoform_a |      NO     |     0.07    |
| 5955 |                                                                                                                                                                                                                                                                                 1-Benzyl-2-methyl-3-cetyl-1H-imidazole-3-ium                                                                                                                                                                                                                                                                                | TP53_isoform_a |      NO     |     0.07    |
| 5956 |                                                                                                                                                                                                                                                                                           Chloroallyl methenamine                                                                                                                                                                                                                                                                                           | TP53_isoform_a |      NO     |     0.07    |
| 5957 |                                                                                                                                                                                                                                                                                                 Tramiprosate                                                                                                                                                                                                                                                                                                | TP53_isoform_a |      NO     |     0.07    |
| 5958 |                                                                                                                                                                                                                                                                                                 Arundic acid                                                                                                                                                                                                                                                                                                | TP53_isoform_a |      NO     |     0.06    |
| 5959 |                                                                                                                                                                                                                                                                                      1,1-Dimethyl-4-acetylpiperazinium                                                                                                                                                                                                                                                                                      | TP53_isoform_a |      NO     |     0.06    |
| 5960 |                                                                                                                                                                                                                                                                           Heptanoic acid (2,2,6,6-tetramethyl-4-piperidinyl) ester                                                                                                                                                                                                                                                                          | TP53_isoform_a |      NO     |     0.06    |
| 5961 |                                                                                                                                                                                                                                                                                             Allyl isothiocyanate                                                                                                                                                                                                                                                                                            | TP53_isoform_a |      NO     |     0.06    |
| 5962 |                                                                                                                                                                                                                                                                                            Tetradecyl nicotinate                                                                                                                                                                                                                                                                                            | TP53_isoform_a |      NO     |     0.06    |
| 5963 |                                                                                                                                                                                                                                                                                           1-Ethyl-2-pyrrolidinone                                                                                                                                                                                                                                                                                           | TP53_isoform_a |      NO     |     0.06    |
| 5964 |                                                                                                                                                                                                                                                                                                  Clofilium                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |      NO     |     0.06    |
| 5965 |                                                                                                                                                                                                                                                                                           Prop-2-enoic acid;sodium                                                                                                                                                                                                                                                                                          | TP53_isoform_a |      NO     |     0.06    |
| 5966 |                                                                                                                                                                                                                                                                                                Cyclamic acid                                                                                                                                                                                                                                                                                                | TP53_isoform_a |      NO     |     0.06    |
| 5967 |                                                                                                                                                                                                                                                                                    2,3-Dimercapto-1-propanesulfonic acid                                                                                                                                                                                                                                                                                    | TP53_isoform_a |      NO     |     0.06    |
| 5968 |                                                                                                                                                                                                                                                                                              Hexaminolevulinate                                                                                                                                                                                                                                                                                             | TP53_isoform_a |      NO     |     0.06    |
| 5969 |                                                                                                                                                                                                                                                                        2-(3,5,7-Triaza-1-azoniatricyclo[3.3.1.13,7]decan-1-yl)ethanol                                                                                                                                                                                                                                                                       | TP53_isoform_a |      NO     |     0.06    |
| 5970 |                                                                                                                                                                                                                                                                                                Thioctic acid                                                                                                                                                                                                                                                                                                | TP53_isoform_a |      NO     |     0.06    |
| 5971 |                                                                                                                                                                                                                                                                                                 Azelaic acid                                                                                                                                                                                                                                                                                                | TP53_isoform_a |      NO     |     0.06    |
| 5972 |                                                                                                                                                                                                                                                                                                   Cetaben                                                                                                                                                                                                                                                                                                   | TP53_isoform_a |      NO     |     0.06    |
| 5973 |                                                                                                                                                                                                                                                                                                  Gabapentin                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |      NO     |     0.06    |
| 5974 |                                                                                                                                                                                                                                                                                        2-Mercaptoethanesulfonic acid                                                                                                                                                                                                                                                                                        | TP53_isoform_a |      NO     |     0.06    |
| 5975 |                                                                                                                                                                                                                                                                                                Isometheptene                                                                                                                                                                                                                                                                                                | TP53_isoform_a |      NO     |     0.06    |
| 5976 |                                                                                                                                                                                                                                                                             N-(9-Cyclopropyl-1-oxononyl)-N-hydroxy-beta-alanine                                                                                                                                                                                                                                                                             | TP53_isoform_a |      NO     |     0.06    |
| 5977 |                                                                                                                                                                                                                                                                                                   Retinal                                                                                                                                                                                                                                                                                                   | TP53_isoform_a |      NO     |     0.06    |
| 5978 |                                                                                                                                                                                                                                                                                                  Amifostine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |      NO     |     0.06    |
| 5979 |                                                                                                                                                                                                                                                                                                  Esaprazole                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |      NO     |     0.06    |
| 5980 |                                                                                                                                                                                                                                                                                                 Nonoxynol-9                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |      NO     |     0.06    |
| 5981 |                                                                                                                                                                                                                                                                                                   Retinol                                                                                                                                                                                                                                                                                                   | TP53_isoform_a |      NO     |     0.06    |
| 5982 |                                                                                                                                                                                                                                                                                          Hexamethylene bisacetamide                                                                                                                                                                                                                                                                                         | TP53_isoform_a |      NO     |     0.06    |
| 5983 |                                                                                                                                                                                                                                                                                       2,2'-Dithiodiethanesulfonic acid                                                                                                                                                                                                                                                                                      | TP53_isoform_a |      NO     |     0.05    |
| 5984 |                                                                                                                                                                                                                                                                                        2,3-Dihydroxypropyl octanoate                                                                                                                                                                                                                                                                                        | TP53_isoform_a |      NO     |     0.05    |
| 5985 |                                                                                                                                                                                                                                                                                                   Olvanil                                                                                                                                                                                                                                                                                                   | TP53_isoform_a |      NO     |     0.05    |
| 5986 |                                                                                                                                                                                                                                                                                                    Pdp-EA                                                                                                                                                                                                                                                                                                   | TP53_isoform_a |      NO     |     0.05    |
| 5987 |                                                                                                                                                                                                                                                                                              Aminocaproic acid                                                                                                                                                                                                                                                                                              | TP53_isoform_a |      NO     |     0.05    |
